image,split,img_w,img_h,img_path,category,x1,y1,x2,y2,w,h,cx,cy,cx_norm,cy_norm,w_norm,h_norm,area,area_norm,aspect,size_bucket,occluded,truncated,trafficLightColor,edge_touch,edge_sides,was_clamped,global_timeofday,global_scene,global_weather,ann_id,manual_shape,manual_attr,is_light_or_sign,is_vehicle
0096bcca-369281bd.jpg,train,1280,720,assignment_data_bdd/bdd100k_images_100k/bdd100k/images/100k/train/0096bcca-369281bd.jpg,car,675.8989,282.209879,698.625537,301.44011,22.726636999999982,19.230231000000003,687.2622185,291.8249945,0.536923608203125,0.4053124923611111,0.017755185156249985,0.026708654166666672,437.03847936314673,0.00047421710000341443,1.1818182007278009,small,True,False,none,False,,False,night,highway,clear,6278,True,True,False,True
0096bcca-369281bd.jpg,train,1280,720,assignment_data_bdd/bdd100k_images_100k/bdd100k/images/100k/train/0096bcca-369281bd.jpg,car,693.380928,282.209879,717.855768,297.943704,24.474839999999972,15.733825000000024,705.618348,290.0767915,0.551264334375,0.4028844326388889,0.019120968749999977,0.021852534722222258,385.0828494630002,0.0004178416335319012,1.5555556261748134,small,True,False,none,False,,False,night,highway,clear,6279,True,True,False,True
0096bcca-369281bd.jpg,train,1280,720,assignment_data_bdd/bdd100k_images_100k/bdd100k/images/100k/train/0096bcca-369281bd.jpg,car,700.37374,285.706284,735.337794,310.181124,34.96405400000003,24.47484000000003,717.855767,297.943704,0.5608248179687501,0.41381070000000003,0.027315667187500024,0.033992833333333375,855.7396274013618,0.0009285369220934915,1.4285713001596738,small,True,False,none,False,,False,night,highway,clear,6280,True,True,False,True
0096bcca-369281bd.jpg,train,1280,720,assignment_data_bdd/bdd100k_images_100k/bdd100k/images/100k/train/0096bcca-369281bd.jpg,car,630.445626,289.20269,670.654291,306.684718,40.208664999999996,17.482027999999957,650.5499585,297.943704,0.508242155078125,0.41381070000000003,0.031413019531249996,0.024280594444444383,702.9290073726182,0.0007627267875136917,2.3000000343209663,small,True,False,none,False,,False,night,highway,clear,6281,True,True,False,True
0096bcca-369281bd.jpg,train,1280,720,assignment_data_bdd/bdd100k_images_100k/bdd100k/images/100k/train/0096bcca-369281bd.jpg,car,336.747547,250.742227,354.229575,257.73504,17.482028000000014,6.992813000000012,345.488561,254.23863350000002,0.26991293828125,0.3531092131944445,0.01365783437500001,0.009712240277777794,122.24855266476432,0.00013264816912409322,2.499999356482146,small,True,False,none,False,,False,night,highway,clear,6282,True,True,False,True
0096bcca-369281bd.jpg,train,1280,720,assignment_data_bdd/bdd100k_images_100k/bdd100k/images/100k/train/0096bcca-369281bd.jpg,car,334.999344,257.73504,350.73317,269.97246,15.733825999999965,12.237419999999986,342.866257,263.85375,0.26786426328125,0.36646354166666667,0.012292051562499972,0.016996416666666646,192.54143696891936,0.00020892083004440034,1.2857143090618761,small,True,False,none,False,,False,night,highway,clear,6283,True,True,False,True
0096bcca-369281bd.jpg,train,1280,720,assignment_data_bdd/bdd100k_images_100k/bdd100k/images/100k/train/0096bcca-369281bd.jpg,car,329.754734,269.972459,348.984965,276.96527,19.230231000000003,6.992810999999961,339.3698495,273.4688645,0.26513269492187497,0.3798178673611111,0.015023617968750003,0.009712237499999945,134.47337086934027,0.0001459129458217668,2.750000107253022,small,True,False,none,False,,False,night,highway,clear,6284,True,True,False,True
0096bcca-369281bd.jpg,train,1280,720,assignment_data_bdd/bdd100k_images_100k/bdd100k/images/100k/train/0096bcca-369281bd.jpg,car,415.416675,283.958082,438.143313,296.1955,22.72663799999998,12.237417999999991,426.779994,290.07679099999996,0.3334218703125,0.4028844319444444,0.017755185937499984,0.016996413888888878,278.11536894068354,0.0003017744888679292,1.8571432307043851,small,True,False,none,False,,False,night,highway,clear,6285,True,True,False,True
0096bcca-369281bd.jpg,train,1280,720,assignment_data_bdd/bdd100k_images_100k/bdd100k/images/100k/train/0096bcca-369281bd.jpg,car,427.654095,289.20269,455.62534,303.188312,27.97124500000001,13.985621999999978,441.63971749999996,296.19550100000004,0.34503102929687496,0.4113826402777778,0.02185253515625001,0.01942447499999997,391.19525943938953,0.0004244740228291987,2.000000071502008,small,True,False,none,False,,False,night,highway,clear,6286,True,True,False,True
0096bcca-369281bd.jpg,train,1280,720,assignment_data_bdd/bdd100k_images_100k/bdd100k/images/100k/train/0096bcca-369281bd.jpg,car,455.625339,285.706284,481.848382,297.943704,26.22304300000002,12.237420000000043,468.73686050000003,291.824994,0.366200672265625,0.40531249166666666,0.020486752343750015,0.016996416666666726,320.9023908690613,0.00034820137898118635,2.1428571545309327,small,True,False,none,False,,False,night,highway,clear,6287,True,True,False,True
